Bit #,name,network,level,Description,anomaly raised
0, lon_default, L & W , L0A , Default longitude as given in the configuration file is used (missing Lon in metadata) ,
1, lat_default, L & W , L0A , same as `lon_default' but for latitude  ,
2, pt_ref_invalid , L & W , L0A , No effective pan/tilt is returned and the requested pan/tilt was used instead ,
3, bad_pointing , L & W , L0A , Difference between requested and effective pan/tilt angle is >= 3°  , `a'
4, outliers, L & W , L1A , If the spectrally integrated signal of the scan is more than 3 sigma or more than 25\% (whichever is largest) removed from the mean; it is masked and will not be used when averaging the series. This process is repeated until convergence and applied to the measured (ir)radiances and to the darks. ,
5, L0_threshold, L & W , L1A , Check if any of the spectral pixels are saturated; i.e. digital number DN>=64000 ,
6, L0_discontinuity, L & W , L1A , Check if there are missing values in the spectrum; or significant discontinuities (\Delta DN>10^4)  ,
7, dark_masked, L & W , L1A , If any of the darks have been masked by `outliers'; `L0_threshold'; and/or; `L0_discontinuity' ,
8, half_of_scans_masked, L & W , L0B , Less than half of the scans for a series passed quality checks `bad_pointing'; `outliers'; `L0_threshold'; and; `L0_discontinuity' ,
9, not_enough_dark_scans, L & W , L0B ,  Not enough valid dark scans for this series (# valid dark scans < n_valid_dark from the config file)  ,  `nld'
10, not_enough_rad_scans, L & W , L0B , Not enough valid radiance scans for this series (# valid radiance scans < n_valid_rad from the config file) ,`nlu'
11, not_enough_irr_scans, L & W , L0B , Not enough valid irradiance scans for this series (# valid irradiance scans < n_valid_irr from the config file) , `ned'
12, series_missing , L & W , L1B , Check if there are any missing series (either not present or flagged by `not_enough_dark_scans'; `not_enough_irr_scans'; `not_enough_rad_scans' or `vza_irradiance') , `ms'
13, vza_irradiance , L & W , L1B , One of the irradiance measurements did not have theta_v=180° (within 2° tolerance) so has been masked  ,
14, no_clear_sky_irradiance, L & W , L1B , More than 10% of the wavelength bands have a difference of more than 50% with the clear-sky model  ,
15, variable_irradiance, L & W , L1B , More than 10\% difference between start and end E_d at 550~nm ,
16, half_of_unc_too_big , L & W , L1B , More than 50\% of data has random error above 100% (likely corrupted or dark data) , `o'
17, single_irradiance_used, L & W , L1C , If only one series of irradiance is used for the computation of the reflectance  ,
18, no_clear_sky_sequence , L & W , L1C , If all irradiance series are flagged with the `no_clear_sky_irradiance' flag  , `cl'
